account_id,industry,plan_tier,mrr,tenure_months,seats_purchased,active_seats_last_30d,logins_last_30d,features_adopted,avg_session_min,support_tickets_last_90d,unresolved_tickets,avg_resolution_days,nps_last_survey,churned,adoption_rate,seat_utilization,login_intensity,health_score,churn_risk,revenue_at_risk
ACC100020,Asset Mgmt,Growth,2445.0,8,57,19,7,4,15.3,7,3,7.5,2.0,1,0.3333333333333333,0.3333333333333333,0.23333333333333334,32.9,0.8223965879776415,2011.0
ACC100021,Asset Mgmt,Starter,500.0,36,11,7,20,8,31.0,6,1,6.1,10.0,0,0.6666666666666666,0.6363636363636364,0.6666666666666666,71.1,0.008901397037728775,4.0
ACC100022,Corporate Treasury,Enterprise,12875.0,42,93,46,6,2,12.3,4,3,12.2,1.0,1,0.16666666666666666,0.4946236559139785,0.2,27.2,0.950467232440348,12237.0
ACC100023,Insurance,Enterprise,11526.0,33,126,61,21,5,23.5,4,1,5.1,5.0,1,0.4166666666666667,0.48412698412698413,0.7,53.7,0.10551221297489463,1216.0
ACC100024,Banking,Growth,3051.0,19,34,28,23,8,27.4,3,1,4.0,6.0,0,0.6666666666666666,0.8235294117647058,0.7666666666666667,72.8,0.049483392852466834,151.0
ACC100025,Asset Mgmt,Starter,471.0,4,3,2,18,7,25.7,7,2,8.7,3.0,0,0.5833333333333334,0.6666666666666666,0.6,59.6,0.06878426288749517,32.0
ACC100026,Brokerage,Growth,3164.0,40,17,7,14,4,16.2,1,1,10.2,2.0,1,0.3333333333333333,0.4117647058823529,0.4666666666666667,38.3,0.4810080870058552,1522.0
ACC100027,Corporate Treasury,Starter,613.0,42,4,2,26,7,35.1,4,2,6.5,4.0,0,0.5833333333333334,0.5,0.8666666666666667,60.2,0.02630212808448035,16.0
ACC100028,Corporate Treasury,Starter,476.0,29,7,2,12,3,14.4,5,4,6.3,3.0,0,0.25,0.2857142857142857,0.4,30.2,0.15302597008857677,73.0
ACC100029,Banking,Growth,2299.0,43,35,22,36,8,48.8,6,0,4.0,7.0,1,0.6666666666666666,0.6285714285714286,1.0,76.0,0.7432576123692959,1709.0
ACC100030,Banking,Growth,2765.0,46,34,26,26,7,27.6,2,0,7.1,7.0,0,0.5833333333333334,0.7647058823529411,0.8666666666666667,73.9,0.04230057495535603,117.0
ACC100031,Asset Mgmt,Enterprise,13838.0,31,273,142,15,5,14.2,5,0,1.3,3.0,0,0.4166666666666667,0.5201465201465202,0.5,50.6,0.031429299016712695,435.0
ACC100032,Brokerage,Starter,406.0,3,14,6,10,4,19.0,5,1,10.6,0.0,1,0.3333333333333333,0.42857142857142855,0.3333333333333333,37.4,0.43910057798147384,178.0
ACC100033,Insurance,Starter,422.0,52,10,7,10,6,28.8,5,1,9.6,1.0,0,0.5,0.7,0.3333333333333333,51.0,0.14877730955290763,63.0
ACC100034,Corporate Treasury,Growth,1969.0,28,17,13,27,9,37.0,5,2,8.2,8.0,1,0.75,0.7647058823529411,0.9,78.0,0.6520652337187897,1284.0
ACC100035,Insurance,Starter,578.0,40,12,6,17,4,18.6,2,0,11.4,3.0,1,0.3333333333333333,0.5,0.5666666666666667,48.5,0.131543728475764,76.0
ACC100036,Insurance,Starter,564.0,54,8,6,21,6,21.9,3,0,8.1,3.0,0,0.5,0.75,0.7,63.2,0.06361308109225074,36.0
ACC100037,Corporate Treasury,Growth,2034.0,22,15,4,1,0,4.9,2,2,13.2,1.0,1,0.0,0.26666666666666666,0.03333333333333333,11.7,0.9943695631884695,2023.0
ACC100038,Brokerage,Starter,511.0,37,9,7,23,9,24.7,2,0,3.5,9.0,0,0.75,0.7777777777777778,0.7666666666666667,80.0,0.007395238548100666,4.0
ACC100039,Insurance,Growth,2896.0,2,20,9,30,8,36.4,1,1,4.1,7.0,0,0.6666666666666666,0.45,1.0,66.6,0.019799154833253695,57.0
ACC100040,Insurance,Growth,3171.0,53,58,32,15,7,25.4,5,3,7.3,5.0,0,0.5833333333333334,0.5517241379310345,0.5,54.2,0.06622791234720769,210.0
ACC100041,Brokerage,Enterprise,9685.0,4,263,148,23,8,38.1,3,0,3.5,6.0,0,0.6666666666666666,0.5627376425855514,0.7666666666666667,68.7,0.022303121376246404,216.0
ACC100042,Asset Mgmt,Growth,2206.0,32,53,53,33,9,32.9,5,1,3.5,9.0,0,0.75,1.0,1.0,88.6,0.00965801865269355,21.0
ACC100043,Brokerage,Starter,455.0,21,6,2,8,4,19.4,2,1,12.7,5.0,1,0.3333333333333333,0.3333333333333333,0.26666666666666666,37.0,0.15649935837793205,71.0
ACC100044,Insurance,Enterprise,12900.0,3,287,196,16,6,30.5,5,0,5.7,4.0,0,0.5,0.6829268292682927,0.5333333333333333,59.2,0.0540004518967297,697.0
ACC100045,Brokerage,Enterprise,9382.0,28,239,140,7,4,24.1,6,1,9.4,3.0,0,0.3333333333333333,0.5857740585774058,0.23333333333333334,42.5,0.16561173084422934,1554.0
ACC100046,Insurance,Starter,408.0,56,3,2,20,9,40.1,3,1,1.0,10.0,0,0.75,0.6666666666666666,0.6666666666666666,73.7,0.0021030878794400846,1.0
ACC100047,Corporate Treasury,Starter,584.0,10,14,5,7,3,4.4,3,2,8.2,5.0,1,0.25,0.35714285714285715,0.23333333333333334,32.3,0.7680021955045558,449.0
ACC100048,Asset Mgmt,Growth,2563.0,18,24,15,45,11,36.6,3,0,0.9,10.0,0,0.9166666666666666,0.625,1.0,87.7,0.0005741582050871019,1.0
ACC100049,Corporate Treasury,Starter,398.0,12,5,2,10,4,20.9,2,2,8.6,5.0,1,0.3333333333333333,0.4,0.3333333333333333,36.7,0.7710122660161862,307.0
ACC100050,Asset Mgmt,Starter,467.0,8,3,2,4,3,10.0,2,0,8.1,3.0,0,0.25,0.6666666666666666,0.13333333333333333,41.1,0.15671600678980221,73.0
ACC100051,Corporate Treasury,Starter,390.0,14,4,2,26,9,34.7,1,1,4.1,9.0,0,0.75,0.5,0.8666666666666667,70.1,0.004542694219759625,2.0
ACC100052,Corporate Treasury,Growth,2294.0,34,13,8,16,7,28.9,3,0,5.3,5.0,0,0.5833333333333334,0.6153846153846154,0.5333333333333333,61.5,0.05502865172744554,126.0
ACC100053,Insurance,Growth,2350.0,47,45,24,30,7,29.5,3,0,5.8,7.0,0,0.5833333333333334,0.5333333333333333,1.0,70.8,0.03171343924497371,75.0
ACC100054,Insurance,Growth,1918.0,41,32,24,30,7,22.4,2,1,3.0,7.0,0,0.5833333333333334,0.75,1.0,72.8,0.02548405841798797,49.0
ACC100055,Asset Mgmt,Growth,1840.0,46,10,7,43,11,46.8,7,1,0.5,9.0,0,0.9166666666666666,0.7,1.0,87.3,0.007290180432612274,13.0
ACC100056,Corporate Treasury,Growth,3072.0,43,47,23,19,5,19.7,1,0,9.2,4.0,0,0.4166666666666667,0.48936170212765956,0.6333333333333333,53.5,0.2149384172794034,660.0
ACC100057,Insurance,Growth,3081.0,23,42,9,3,1,10.6,6,1,10.2,1.0,1,0.08333333333333333,0.21428571428571427,0.1,19.8,0.9214464439362428,2839.0
ACC100058,Insurance,Starter,351.0,54,5,5,25,8,32.3,3,1,5.3,5.0,0,0.6666666666666666,1.0,0.8333333333333334,77.5,0.029223510594706657,10.0
ACC100059,Banking,Starter,542.0,11,10,6,25,7,36.4,3,0,7.3,5.0,1,0.5833333333333334,0.6,0.8333333333333334,67.1,0.762976978631843,414.0
ACC100060,Banking,Growth,1891.0,42,53,17,12,4,25.7,2,2,8.8,2.0,1,0.3333333333333333,0.32075471698113206,0.4,33.0,0.8025027220871357,1518.0
ACC100061,Banking,Growth,2965.0,7,19,19,35,11,53.2,0,0,0.5,10.0,0,0.9166666666666666,1.0,1.0,97.1,0.002163897063026685,6.0
ACC100062,Brokerage,Growth,3069.0,46,38,26,22,5,30.1,2,0,3.7,5.0,0,0.4166666666666667,0.6842105263157895,0.7333333333333333,61.4,0.014399523987232257,44.0
ACC100063,Brokerage,Growth,2675.0,6,37,14,7,2,9.6,4,2,9.8,2.0,1,0.16666666666666666,0.3783783783783784,0.23333333333333334,28.0,0.8645327204971717,2313.0
ACC100064,Banking,Growth,2670.0,13,20,16,16,5,19.7,3,0,7.7,6.0,1,0.4166666666666667,0.8,0.5333333333333333,61.2,0.5418608227236714,1447.0
ACC100065,Banking,Growth,2307.0,24,28,7,3,1,1.4,2,2,14.2,0.0,1,0.08333333333333333,0.25,0.1,14.5,0.9845378565938463,2271.0
ACC100066,Corporate Treasury,Growth,2124.0,41,12,10,24,7,29.6,1,1,10.1,8.0,0,0.5833333333333334,0.8333333333333334,0.8,70.3,0.1725288359713836,366.0
ACC100067,Insurance,Starter,500.0,3,4,3,21,6,26.2,3,1,7.4,7.0,1,0.5,0.75,0.7,64.8,0.5743999559937266,287.0
ACC100068,Asset Mgmt,Starter,390.0,16,10,6,21,6,25.7,5,0,6.6,3.0,0,0.5,0.6,0.7,59.5,0.06020489744246855,23.0
ACC100069,Corporate Treasury,Growth,2758.0,20,25,21,44,10,35.0,3,0,3.3,10.0,0,0.8333333333333334,0.84,1.0,90.2,0.0004884307066081947,1.0
ACC100070,Asset Mgmt,Starter,491.0,44,9,2,10,2,13.6,1,1,10.2,2.0,0,0.16666666666666666,0.2222222222222222,0.3333333333333333,25.1,0.5162202356232404,253.0
ACC100071,Banking,Growth,2016.0,57,57,14,5,1,6.9,4,1,9.6,2.0,1,0.08333333333333333,0.24561403508771928,0.16666666666666666,22.4,0.7638338299282893,1540.0
ACC100072,Asset Mgmt,Enterprise,12636.0,37,234,145,20,7,26.6,1,1,8.7,5.0,0,0.5833333333333334,0.6196581196581197,0.6666666666666666,59.2,0.04956926564964924,626.0
ACC100073,Brokerage,Starter,589.0,30,13,11,21,6,26.6,5,2,5.9,5.0,0,0.5,0.8461538461538461,0.7,64.3,0.10856211968306594,64.0
ACC100074,Corporate Treasury,Starter,527.0,20,14,4,3,1,8.2,3,3,11.8,2.0,1,0.08333333333333333,0.2857142857142857,0.1,16.6,0.9814716064766231,517.0
ACC100075,Banking,Starter,509.0,49,10,8,41,11,33.6,4,0,3.7,9.0,0,0.9166666666666666,0.8,1.0,91.1,0.002036639587696915,1.0
ACC100076,Insurance,Starter,604.0,7,11,4,24,5,17.1,4,0,3.3,2.0,0,0.4166666666666667,0.36363636363636365,0.8,51.7,0.03894105298625977,24.0
ACC100077,Brokerage,Growth,1766.0,8,52,28,31,7,30.4,1,0,4.2,5.0,0,0.5833333333333334,0.5384615384615384,1.0,68.9,0.11274232954133816,199.0
ACC100078,Brokerage,Growth,2675.0,12,24,10,10,3,14.8,3,1,10.1,3.0,0,0.25,0.4166666666666667,0.3333333333333333,36.3,0.4020495517712893,1075.0
ACC100079,Corporate Treasury,Growth,2365.0,16,43,43,26,9,26.5,5,1,6.6,8.0,0,0.75,1.0,0.8666666666666667,84.9,0.021347460393365946,50.0
ACC100080,Banking,Growth,2040.0,28,19,11,28,9,37.9,3,1,5.0,10.0,0,0.75,0.5789473684210527,0.9333333333333333,76.9,0.007069621171855852,14.0
ACC100081,Asset Mgmt,Growth,3219.0,56,26,8,7,3,13.2,2,2,11.2,3.0,1,0.25,0.3076923076923077,0.23333333333333334,27.4,0.691724603160677,2227.0
ACC100082,Asset Mgmt,Enterprise,11307.0,39,130,47,26,5,17.3,0,0,5.4,5.0,1,0.4166666666666667,0.36153846153846153,0.8666666666666667,56.0,0.5487169787197845,6204.0
ACC100083,Banking,Starter,451.0,23,8,5,15,6,22.4,4,0,6.9,5.0,0,0.5,0.625,0.5,58.1,0.06898162880767865,31.0
ACC100084,Banking,Starter,401.0,13,7,4,17,4,18.8,4,1,6.4,3.0,1,0.3333333333333333,0.5714285714285714,0.5666666666666667,48.3,0.14442426261549893,58.0
ACC100085,Asset Mgmt,Starter,649.0,39,10,5,25,8,21.1,6,0,6.8,9.0,0,0.6666666666666666,0.5,0.8333333333333334,71.5,0.03202057783270089,21.0
ACC100086,Insurance,Growth,3034.0,15,35,21,36,9,37.9,3,1,4.4,7.0,0,0.75,0.6,1.0,75.8,0.007246938913608841,22.0
ACC100087,Asset Mgmt,Growth,1855.0,58,37,14,13,3,18.8,0,0,13.3,2.0,1,0.25,0.3783783783783784,0.43333333333333335,38.9,0.7453476448556448,1383.0
ACC100088,Insurance,Starter,520.0,29,4,2,34,9,41.0,1,0,4.1,8.0,0,0.75,0.5,1.0,76.8,0.008573086491013814,4.0
ACC100089,Asset Mgmt,Growth,1971.0,33,31,25,26,7,34.0,3,0,3.0,4.0,0,0.5833333333333334,0.8064516129032258,0.8666666666666667,71.9,0.03837152397787829,76.0
ACC100090,Banking,Starter,565.0,54,11,7,7,4,14.1,2,0,9.4,4.0,1,0.3333333333333333,0.6363636363636364,0.23333333333333334,46.2,0.4642654114930489,262.0
ACC100091,Brokerage,Growth,2476.0,19,47,28,17,8,36.6,3,1,4.5,8.0,0,0.6666666666666666,0.5957446808510638,0.5666666666666667,65.1,0.018405234352123802,46.0
ACC100092,Insurance,Growth,1916.0,28,32,19,19,5,24.2,2,1,9.4,4.0,0,0.4166666666666667,0.59375,0.6333333333333333,52.8,0.2899154479921274,555.0
ACC100093,Asset Mgmt,Starter,517.0,32,10,6,24,8,28.1,1,0,3.7,6.0,0,0.6666666666666666,0.6,0.8,70.3,0.04089963988425162,21.0
ACC100094,Brokerage,Starter,623.0,16,6,3,40,11,43.1,1,0,5.6,8.0,0,0.9166666666666666,0.5,1.0,82.6,0.004110757953125759,3.0
ACC100095,Brokerage,Growth,2262.0,4,19,15,25,9,36.0,4,0,2.0,10.0,0,0.75,0.7894736842105263,0.8333333333333334,82.7,0.0006166500165908941,1.0
ACC100096,Brokerage,Starter,365.0,17,14,8,9,4,26.5,7,2,11.4,4.0,0,0.3333333333333333,0.5714285714285714,0.3,43.5,0.340935481763092,124.0
ACC100097,Banking,Starter,634.0,7,14,9,37,9,39.5,3,0,2.1,9.0,0,0.75,0.6428571428571429,1.0,81.3,0.005328301391258513,3.0
ACC100098,Corporate Treasury,Starter,393.0,40,3,2,34,8,26.9,4,1,4.1,6.0,0,0.6666666666666666,0.6666666666666666,1.0,74.0,0.014373113850889522,6.0
ACC100099,Brokerage,Enterprise,11820.0,1,294,169,40,8,33.8,3,1,6.6,8.0,1,0.6666666666666666,0.5748299319727891,1.0,73.2,0.9040301764992069,10686.0
ACC100100,Brokerage,Enterprise,12322.0,19,158,64,8,3,17.6,3,1,13.5,0.0,0,0.25,0.4050632911392405,0.26666666666666666,31.7,0.178616647103937,2201.0
ACC100101,Asset Mgmt,Growth,2106.0,53,36,19,12,5,21.5,6,1,8.4,3.0,1,0.4166666666666667,0.5277777777777778,0.4,47.3,0.533046302910671,1123.0
ACC100102,Brokerage,Starter,403.0,34,10,6,10,4,15.9,4,1,6.1,6.0,0,0.3333333333333333,0.6,0.3333333333333333,47.3,0.114322246246524,46.0
ACC100103,Insurance,Enterprise,9215.0,40,261,99,19,4,27.1,4,1,4.0,4.0,0,0.3333333333333333,0.3793103448275862,0.6333333333333333,45.8,0.05077827146119234,468.0
ACC100104,Insurance,Growth,1855.0,40,58,45,26,7,25.8,7,0,7.9,5.0,0,0.5833333333333334,0.7758620689655172,0.8666666666666667,72.1,0.09295889685909786,172.0
ACC100105,Insurance,Growth,2512.0,18,41,40,38,8,40.2,2,1,8.6,4.0,0,0.6666666666666666,0.975609756097561,1.0,78.4,0.006824792176165263,17.0
ACC100106,Corporate Treasury,Growth,3013.0,38,38,19,36,8,23.6,2,0,7.8,7.0,0,0.6666666666666666,0.5,1.0,72.8,0.039664580763585214,120.0
ACC100107,Banking,Starter,388.0,14,7,4,10,4,16.9,4,4,8.9,3.0,0,0.3333333333333333,0.5714285714285714,0.3333333333333333,37.6,0.2011439362383482,78.0
ACC100108,Insurance,Starter,560.0,38,12,7,22,7,32.5,3,1,4.6,7.0,0,0.5833333333333334,0.5833333333333334,0.7333333333333333,64.2,0.02735295908542294,15.0
ACC100109,Brokerage,Enterprise,11371.0,41,264,173,19,6,20.2,3,0,7.9,3.0,0,0.5,0.6553030303030303,0.6333333333333333,59.5,0.05705154182587277,649.0
ACC100110,Insurance,Growth,1803.0,52,56,36,13,4,14.3,3,1,9.5,5.0,0,0.3333333333333333,0.6428571428571429,0.43333333333333335,48.9,0.08378798604033971,151.0
ACC100111,Asset Mgmt,Starter,511.0,55,5,3,12,2,15.4,1,0,14.0,1.0,0,0.16666666666666666,0.6,0.4,39.8,0.12457815853073477,64.0
ACC100112,Banking,Starter,426.0,2,10,4,7,3,6.2,5,2,10.6,1.0,1,0.25,0.4,0.23333333333333334,31.1,0.945788314150394,403.0
ACC100113,Insurance,Growth,2658.0,18,14,12,35,8,37.8,6,0,7.0,7.0,0,0.6666666666666666,0.8571428571428571,1.0,81.8,0.008641026643090185,23.0
ACC100114,Corporate Treasury,Starter,455.0,33,13,10,21,9,41.5,2,1,4.5,10.0,0,0.75,0.7692307692307693,0.7,76.1,0.0012524228315540407,1.0
ACC100115,Insurance,Enterprise,13198.0,19,254,192,26,6,34.0,4,0,4.7,6.0,0,0.5,0.7559055118110236,0.8666666666666667,69.7,0.023545097022278607,311.0
ACC100116,Brokerage,Growth,3128.0,37,44,32,12,5,23.2,1,1,7.8,5.0,0,0.4166666666666667,0.7272727272727273,0.4,50.8,0.232095565467092,726.0
ACC100117,Corporate Treasury,Growth,2117.0,51,40,26,18,5,20.6,2,1,2.7,4.0,0,0.4166666666666667,0.65,0.6,53.5,0.028895039385838085,61.0
ACC100118,Insurance,Growth,3160.0,16,33,14,26,7,25.7,2,1,6.3,8.0,0,0.5833333333333334,0.42424242424242425,0.8666666666666667,63.0,0.0760601984089274,240.0
ACC100119,Banking,Growth,2056.0,53,22,13,27,9,35.5,2,0,5.3,8.0,0,0.75,0.5909090909090909,0.9,77.0,0.0038669929063916654,8.0
ACC100120,Insurance,Growth,1856.0,53,35,35,52,11,41.2,2,0,2.0,6.0,0,0.9166666666666666,1.0,1.0,93.1,0.000480907321213688,1.0
ACC100121,Banking,Growth,2039.0,54,23,9,27,7,25.5,5,0,7.1,7.0,0,0.5833333333333334,0.391304347826087,0.9,65.2,0.02818180166468085,57.0
ACC100122,Corporate Treasury,Starter,594.0,5,4,2,7,3,23.7,3,1,11.4,3.0,1,0.25,0.5,0.23333333333333334,36.4,0.7637873634175857,454.0
ACC100123,Banking,Growth,2766.0,18,26,20,24,8,31.8,2,1,5.3,7.0,0,0.6666666666666666,0.7692307692307693,0.8,72.2,0.03642741431859143,101.0
ACC100124,Brokerage,Starter,641.0,8,14,7,7,3,20.5,5,0,9.7,4.0,0,0.25,0.5,0.23333333333333334,39.9,0.3229204733619725,207.0
ACC100125,Asset Mgmt,Growth,2815.0,8,47,24,6,2,13.1,5,0,9.3,1.0,1,0.16666666666666666,0.5106382978723404,0.2,33.6,0.45095678823312446,1269.0
ACC100126,Insurance,Starter,474.0,4,8,4,25,10,40.1,0,0,2.8,8.0,0,0.8333333333333334,0.5,0.8333333333333334,76.3,0.005846482952402998,3.0
ACC100127,Banking,Starter,618.0,26,3,3,24,11,42.8,3,0,7.1,9.0,0,0.9166666666666666,1.0,0.8,92.1,0.0017837486212524515,1.0
ACC100128,Asset Mgmt,Starter,637.0,6,6,4,19,4,21.3,3,0,7.0,4.0,1,0.3333333333333333,0.6666666666666666,0.6333333333333333,55.0,0.5397717685117517,344.0
ACC100129,Brokerage,Growth,2937.0,18,27,13,40,8,31.3,3,1,4.0,6.0,0,0.6666666666666666,0.48148148148148145,1.0,68.9,0.021173551994761463,62.0
ACC100130,Asset Mgmt,Starter,517.0,58,10,5,8,4,20.2,1,1,10.8,2.0,1,0.3333333333333333,0.5,0.26666666666666666,36.5,0.7454251495176839,385.0
ACC100131,Insurance,Enterprise,14346.0,53,211,152,30,7,31.4,2,2,4.7,5.0,1,0.5833333333333334,0.7203791469194313,1.0,66.8,0.8410402624973544,12066.0
ACC100132,Brokerage,Growth,2019.0,56,12,5,11,4,27.9,4,0,10.1,3.0,0,0.3333333333333333,0.4166666666666667,0.36666666666666664,42.4,0.13151176016049576,266.0
ACC100133,Corporate Treasury,Starter,620.0,3,7,4,21,6,25.5,3,0,5.1,7.0,0,0.5,0.5714285714285714,0.7,62.8,0.1285763012099864,80.0
ACC100134,Banking,Growth,3249.0,39,49,17,10,4,15.7,3,0,8.3,1.0,0,0.3333333333333333,0.3469387755102041,0.3333333333333333,38.0,0.3689596840753497,1199.0
ACC100135,Asset Mgmt,Starter,550.0,38,14,10,15,6,20.7,4,0,9.1,6.0,0,0.5,0.7142857142857143,0.5,61.4,0.1600069117443881,88.0
ACC100136,Asset Mgmt,Enterprise,9810.0,8,167,95,25,8,44.8,3,2,2.6,4.0,1,0.6666666666666666,0.5688622754491018,0.8333333333333334,63.2,0.8147289831197291,7992.0
ACC100137,Asset Mgmt,Growth,1967.0,54,59,33,23,6,14.7,6,1,8.7,5.0,0,0.5,0.559322033898305,0.7666666666666667,60.4,0.040477564757458666,80.0
ACC100138,Asset Mgmt,Growth,3189.0,24,59,51,36,11,35.5,1,0,4.7,7.0,0,0.9166666666666666,0.864406779661017,1.0,90.7,0.003778798413559718,12.0
ACC100139,Insurance,Starter,611.0,58,4,1,8,2,11.5,3,1,9.9,0.0,1,0.16666666666666666,0.25,0.26666666666666666,24.9,0.6039779431919726,369.0
ACC100140,Asset Mgmt,Growth,2873.0,7,12,7,12,6,22.6,1,0,9.4,7.0,1,0.5,0.5833333333333334,0.4,57.1,0.5057022845138953,1453.0
ACC100141,Asset Mgmt,Growth,3174.0,39,43,25,37,10,43.6,1,1,3.0,10.0,0,0.8333333333333334,0.5813953488372093,1.0,78.7,0.0012750913154688666,4.0
ACC100142,Insurance,Enterprise,12025.0,8,272,143,15,7,33.3,2,0,5.6,6.0,0,0.5833333333333334,0.5257352941176471,0.5,59.6,0.2891164142245796,3477.0
ACC100143,Asset Mgmt,Growth,3082.0,57,55,21,6,3,11.4,4,2,11.2,2.0,1,0.25,0.38181818181818183,0.2,30.3,0.7222541093423828,2226.0
ACC100144,Asset Mgmt,Growth,1994.0,36,57,32,15,5,30.8,6,1,9.9,3.0,0,0.4166666666666667,0.5614035087719298,0.5,50.2,0.12491842718855753,249.0
ACC100145,Insurance,Starter,405.0,5,6,4,16,8,25.4,3,0,0.5,6.0,0,0.6666666666666666,0.6666666666666666,0.5333333333333333,66.7,0.020289978821136614,8.0
ACC100146,Brokerage,Starter,504.0,13,7,2,17,4,14.4,3,3,4.6,2.0,0,0.3333333333333333,0.2857142857142857,0.5666666666666667,34.6,0.1790405482216908,90.0
ACC100147,Insurance,Growth,2249.0,22,22,10,14,4,26.9,3,1,5.9,3.0,0,0.3333333333333333,0.45454545454545453,0.4666666666666667,42.9,0.13288794923868869,299.0
ACC100148,Insurance,Growth,2399.0,1,45,15,18,5,14.1,2,0,9.3,4.0,0,0.4166666666666667,0.3333333333333333,0.6,48.9,0.18693002647407053,448.0
ACC100149,Brokerage,Starter,589.0,1,5,3,13,7,30.5,3,0,6.5,8.0,0,0.5833333333333334,0.6,0.43333333333333335,62.1,0.14399305790686162,85.0
ACC100150,Corporate Treasury,Enterprise,8785.0,55,169,50,7,3,22.6,3,2,5.8,3.0,1,0.25,0.2958579881656805,0.23333333333333334,28.8,0.8835810282097726,7762.0
ACC100151,Asset Mgmt,Enterprise,13590.0,58,206,91,21,6,12.3,5,1,10.8,5.0,0,0.5,0.441747572815534,0.7,55.9,0.013975966890153388,190.0
ACC100152,Asset Mgmt,Starter,376.0,32,5,3,11,6,22.1,4,0,8.4,3.0,0,0.5,0.6,0.36666666666666664,52.8,0.1328424806383378,50.0
ACC100153,Insurance,Growth,3021.0,54,31,19,6,3,19.5,3,1,9.0,3.0,1,0.25,0.6129032258064516,0.2,38.6,0.6964587807418421,2104.0
ACC100154,Insurance,Starter,411.0,39,9,5,13,7,28.5,3,1,6.8,2.0,0,0.5833333333333334,0.5555555555555556,0.43333333333333335,52.5,0.0692076379095989,28.0
