account_id,industry,plan_tier,mrr,tenure_months,seats_purchased,active_seats_last_30d,logins_last_30d,features_adopted,avg_session_min,support_tickets_last_90d,unresolved_tickets,avg_resolution_days,nps_last_survey,churned
ACC100041,Brokerage,Enterprise,9685.0,4,263,148,23,8,38.1,3,0,3.5,6.0,0
ACC100042,Asset Mgmt,Growth,2206.0,32,53,53,33,9,32.9,5,1,3.5,9.0,0
ACC100043,Brokerage,Starter,455.0,21,6,2,8,4,19.4,2,1,12.7,5.0,1
ACC100044,Insurance,Enterprise,12900.0,3,287,196,16,6,30.5,5,0,5.7,4.0,0
ACC100045,Brokerage,Enterprise,9382.0,28,239,140,7,4,24.1,6,1,9.4,3.0,0
ACC100046,Insurance,Starter,408.0,56,3,2,20,9,40.1,3,1,1.0,10.0,0
ACC100047,Corporate Treasury,Starter,584.0,10,14,5,7,3,4.4,3,2,8.2,5.0,1
ACC100048,Asset Mgmt,Growth,2563.0,18,24,15,45,11,36.6,3,0,0.9,10.0,0
ACC100049,Corporate Treasury,Starter,398.0,12,5,2,10,4,20.9,2,2,8.6,5.0,1
ACC100050,Asset Mgmt,Starter,467.0,8,3,2,4,3,10.0,2,0,8.1,3.0,0
ACC100051,Corporate Treasury,Starter,390.0,14,4,2,26,9,34.7,1,1,4.1,9.0,0
ACC100052,Corporate Treasury,Growth,2294.0,34,13,8,16,7,28.9,3,0,5.3,5.0,0
ACC100053,Insurance,Growth,2350.0,47,45,24,30,7,29.5,3,0,5.8,7.0,0
ACC100054,Insurance,Growth,1918.0,41,32,24,30,7,22.4,2,1,3.0,7.0,0
ACC100055,Asset Mgmt,Growth,1840.0,46,10,7,43,11,46.8,7,1,0.5,9.0,0
ACC100056,Corporate Treasury,Growth,3072.0,43,47,23,19,5,19.7,1,0,9.2,4.0,0
ACC100057,Insurance,Growth,3081.0,23,42,9,3,1,10.6,6,1,10.2,1.0,1
ACC100058,Insurance,Starter,351.0,54,5,5,25,8,32.3,3,1,5.3,5.0,0
ACC100059,Banking,Starter,542.0,11,10,6,25,7,36.4,3,0,7.3,5.0,1
ACC100060,Banking,Growth,1891.0,42,53,17,12,4,25.7,2,2,8.8,2.0,1
ACC100061,Banking,Growth,2965.0,7,19,19,35,11,53.2,0,0,0.5,10.0,0
ACC100062,Brokerage,Growth,3069.0,46,38,26,22,5,30.1,2,0,3.7,5.0,0
ACC100063,Brokerage,Growth,2675.0,6,37,14,7,2,9.6,4,2,9.8,2.0,1
ACC100064,Banking,Growth,2670.0,13,20,16,16,5,19.7,3,0,7.7,6.0,1
ACC100065,Banking,Growth,2307.0,24,28,7,3,1,1.4,2,2,14.2,0.0,1
ACC100066,Corporate Treasury,Growth,2124.0,41,12,10,24,7,29.6,1,1,10.1,8.0,0
ACC100067,Insurance,Starter,500.0,3,4,3,21,6,26.2,3,1,7.4,7.0,1
ACC100068,Asset Mgmt,Starter,390.0,16,10,6,21,6,25.7,5,0,6.6,3.0,0
ACC100069,Corporate Treasury,Growth,2758.0,20,25,21,44,10,35.0,3,0,3.3,10.0,0
ACC100070,Asset Mgmt,Starter,491.0,44,9,2,10,2,13.6,1,1,10.2,2.0,0
ACC100071,Banking,Growth,2016.0,57,57,14,5,1,6.9,4,1,9.6,2.0,1
ACC100072,Asset Mgmt,Enterprise,12636.0,37,234,145,20,7,26.6,1,1,8.7,5.0,0
ACC100073,Brokerage,Starter,589.0,30,13,11,21,6,26.6,5,2,5.9,5.0,0
ACC100074,Corporate Treasury,Starter,527.0,20,14,4,3,1,8.2,3,3,11.8,2.0,1
ACC100075,Banking,Starter,509.0,49,10,8,41,11,33.6,4,0,3.7,9.0,0
ACC100076,Insurance,Starter,604.0,7,11,4,24,5,17.1,4,0,3.3,2.0,0
ACC100077,Brokerage,Growth,1766.0,8,52,28,31,7,30.4,1,0,4.2,5.0,0
ACC100078,Brokerage,Growth,2675.0,12,24,10,10,3,14.8,3,1,10.1,3.0,0
ACC100079,Corporate Treasury,Growth,2365.0,16,43,43,26,9,26.5,5,1,6.6,8.0,0
ACC100080,Banking,Growth,2040.0,28,19,11,28,9,37.9,3,1,5.0,10.0,0
ACC100081,Asset Mgmt,Growth,3219.0,56,26,8,7,3,13.2,2,2,11.2,3.0,1
ACC100082,Asset Mgmt,Enterprise,11307.0,39,130,47,26,5,17.3,0,0,5.4,5.0,1
ACC100083,Banking,Starter,451.0,23,8,5,15,6,22.4,4,0,6.9,5.0,0
ACC100084,Banking,Starter,401.0,13,7,4,17,4,18.8,4,1,6.4,3.0,1
ACC100085,Asset Mgmt,Starter,649.0,39,10,5,25,8,21.1,6,0,6.8,9.0,0
ACC100086,Insurance,Growth,3034.0,15,35,21,36,9,37.9,3,1,4.4,7.0,0
ACC100087,Asset Mgmt,Growth,1855.0,58,37,14,13,3,18.8,0,0,13.3,2.0,1
ACC100088,Insurance,Starter,520.0,29,4,2,34,9,41.0,1,0,4.1,8.0,0
ACC100089,Asset Mgmt,Growth,1971.0,33,31,25,26,7,34.0,3,0,3.0,4.0,0
ACC100090,Banking,Starter,565.0,54,11,7,7,4,14.1,2,0,9.4,4.0,1
ACC100091,Brokerage,Growth,2476.0,19,47,28,17,8,36.6,3,1,4.5,8.0,0
ACC100092,Insurance,Growth,1916.0,28,32,19,19,5,24.2,2,1,9.4,4.0,0
ACC100093,Asset Mgmt,Starter,517.0,32,10,6,24,8,28.1,1,0,3.7,6.0,0
ACC100094,Brokerage,Starter,623.0,16,6,3,40,11,43.1,1,0,5.6,8.0,0
ACC100095,Brokerage,Growth,2262.0,4,19,15,25,9,36.0,4,0,2.0,10.0,0
ACC100096,Brokerage,Starter,365.0,17,14,8,9,4,26.5,7,2,11.4,4.0,0
ACC100097,Banking,Starter,634.0,7,14,9,37,9,39.5,3,0,2.1,9.0,0
ACC100098,Corporate Treasury,Starter,393.0,40,3,2,34,8,26.9,4,1,4.1,6.0,0
ACC100099,Brokerage,Enterprise,11820.0,1,294,169,40,8,33.8,3,1,6.6,8.0,1
ACC100100,Brokerage,Enterprise,12322.0,19,158,64,8,3,17.6,3,1,13.5,0.0,0
ACC100101,Asset Mgmt,Growth,2106.0,53,36,19,12,5,21.5,6,1,8.4,3.0,1
ACC100102,Brokerage,Starter,403.0,34,10,6,10,4,15.9,4,1,6.1,6.0,0
ACC100103,Insurance,Enterprise,9215.0,40,261,99,19,4,27.1,4,1,4.0,4.0,0
ACC100104,Insurance,Growth,1855.0,40,58,45,26,7,25.8,7,0,7.9,5.0,0
ACC100105,Insurance,Growth,2512.0,18,41,40,38,8,40.2,2,1,8.6,4.0,0
ACC100106,Corporate Treasury,Growth,3013.0,38,38,19,36,8,23.6,2,0,7.8,7.0,0
ACC100107,Banking,Starter,388.0,14,7,4,10,4,16.9,4,4,8.9,3.0,0
ACC100108,Insurance,Starter,560.0,38,12,7,22,7,32.5,3,1,4.6,7.0,0
ACC100109,Brokerage,Enterprise,11371.0,41,264,173,19,6,20.2,3,0,7.9,3.0,0
ACC100110,Insurance,Growth,1803.0,52,56,36,13,4,14.3,3,1,9.5,5.0,0
ACC100111,Asset Mgmt,Starter,511.0,55,5,3,12,2,15.4,1,0,14.0,1.0,0
ACC100112,Banking,Starter,426.0,2,10,4,7,3,6.2,5,2,10.6,1.0,1
ACC100113,Insurance,Growth,2658.0,18,14,12,35,8,37.8,6,0,7.0,7.0,0
ACC100114,Corporate Treasury,Starter,455.0,33,13,10,21,9,41.5,2,1,4.5,10.0,0
ACC100115,Insurance,Enterprise,13198.0,19,254,192,26,6,34.0,4,0,4.7,6.0,0
ACC100116,Brokerage,Growth,3128.0,37,44,32,12,5,23.2,1,1,7.8,5.0,0
ACC100117,Corporate Treasury,Growth,2117.0,51,40,26,18,5,20.6,2,1,2.7,4.0,0
ACC100118,Insurance,Growth,3160.0,16,33,14,26,7,25.7,2,1,6.3,8.0,0
ACC100119,Banking,Growth,2056.0,53,22,13,27,9,35.5,2,0,5.3,8.0,0
ACC100120,Insurance,Growth,1856.0,53,35,35,52,11,41.2,2,0,2.0,6.0,0
ACC100121,Banking,Growth,2039.0,54,23,9,27,7,25.5,5,0,7.1,7.0,0
ACC100122,Corporate Treasury,Starter,594.0,5,4,2,7,3,23.7,3,1,11.4,3.0,1
ACC100123,Banking,Growth,2766.0,18,26,20,24,8,31.8,2,1,5.3,7.0,0
ACC100124,Brokerage,Starter,641.0,8,14,7,7,3,20.5,5,0,9.7,4.0,0
ACC100125,Asset Mgmt,Growth,2815.0,8,47,24,6,2,13.1,5,0,9.3,1.0,1
ACC100126,Insurance,Starter,474.0,4,8,4,25,10,40.1,0,0,2.8,8.0,0
ACC100127,Banking,Starter,618.0,26,3,3,24,11,42.8,3,0,7.1,9.0,0
ACC100128,Asset Mgmt,Starter,637.0,6,6,4,19,4,21.3,3,0,7.0,4.0,1
ACC100129,Brokerage,Growth,2937.0,18,27,13,40,8,31.3,3,1,4.0,6.0,0
ACC100130,Asset Mgmt,Starter,517.0,58,10,5,8,4,20.2,1,1,10.8,2.0,1
ACC100131,Insurance,Enterprise,14346.0,53,211,152,30,7,31.4,2,2,4.7,5.0,1
ACC100132,Brokerage,Growth,2019.0,56,12,5,11,4,27.9,4,0,10.1,3.0,0
ACC100133,Corporate Treasury,Starter,620.0,3,7,4,21,6,25.5,3,0,5.1,7.0,0
ACC100134,Banking,Growth,3249.0,39,49,17,10,4,15.7,3,0,8.3,1.0,0
ACC100135,Asset Mgmt,Starter,550.0,38,14,10,15,6,20.7,4,0,9.1,6.0,0
ACC100136,Asset Mgmt,Enterprise,9810.0,8,167,95,25,8,44.8,3,2,2.6,4.0,1
ACC100137,Asset Mgmt,Growth,1967.0,54,59,33,23,6,14.7,6,1,8.7,5.0,0
ACC100138,Asset Mgmt,Growth,3189.0,24,59,51,36,11,35.5,1,0,4.7,7.0,0
ACC100139,Insurance,Starter,611.0,58,4,1,8,2,11.5,3,1,9.9,0.0,1
ACC100140,Asset Mgmt,Growth,2873.0,7,12,7,12,6,22.6,1,0,9.4,7.0,1
ACC100141,Asset Mgmt,Growth,3174.0,39,43,25,37,10,43.6,1,1,3.0,10.0,0
ACC100142,Insurance,Enterprise,12025.0,8,272,143,15,7,33.3,2,0,5.6,6.0,0
ACC100143,Asset Mgmt,Growth,3082.0,57,55,21,6,3,11.4,4,2,11.2,2.0,1
ACC100144,Asset Mgmt,Growth,1994.0,36,57,32,15,5,30.8,6,1,9.9,3.0,0
ACC100145,Insurance,Starter,405.0,5,6,4,16,8,25.4,3,0,0.5,6.0,0
ACC100146,Brokerage,Starter,504.0,13,7,2,17,4,14.4,3,3,4.6,2.0,0
ACC100147,Insurance,Growth,2249.0,22,22,10,14,4,26.9,3,1,5.9,3.0,0
ACC100148,Insurance,Growth,2399.0,1,45,15,18,5,14.1,2,0,9.3,4.0,0
ACC100149,Brokerage,Starter,589.0,1,5,3,13,7,30.5,3,0,6.5,8.0,0
ACC100150,Corporate Treasury,Enterprise,8785.0,55,169,50,7,3,22.6,3,2,5.8,3.0,1
ACC100151,Asset Mgmt,Enterprise,13590.0,58,206,91,21,6,12.3,5,1,10.8,5.0,0
ACC100152,Asset Mgmt,Starter,376.0,32,5,3,11,6,22.1,4,0,8.4,3.0,0
ACC100153,Insurance,Growth,3021.0,54,31,19,6,3,19.5,3,1,9.0,3.0,1
ACC100154,Insurance,Starter,411.0,39,9,5,13,7,28.5,3,1,6.8,2.0,0
ACC100155,Banking,Growth,2852.0,2,58,58,52,11,42.1,2,0,2.2,8.0,0
ACC100156,Banking,Starter,528.0,43,3,1,16,5,23.5,3,1,9.8,2.0,1
ACC100157,Asset Mgmt,Growth,2328.0,2,23,10,7,4,19.3,5,2,11.5,3.0,0
ACC100158,Brokerage,Growth,2151.0,49,13,8,25,8,27.0,1,0,8.6,6.0,0
ACC100159,Corporate Treasury,Growth,1836.0,22,33,11,18,4,21.7,2,1,9.7,3.0,0
ACC100160,Brokerage,Starter,456.0,9,7,4,12,5,24.2,3,2,7.8,4.0,0
ACC100161,Banking,Enterprise,9844.0,16,141,61,15,6,19.6,2,0,9.0,5.0,0
ACC100162,Insurance,Starter,391.0,41,14,9,22,4,17.6,2,1,11.7,6.0,0
ACC100163,Insurance,Starter,572.0,50,5,4,38,8,25.7,1,0,4.5,6.0,0
ACC100164,Insurance,Growth,2069.0,34,14,8,12,3,17.7,3,2,12.0,2.0,0
ACC100165,Insurance,Starter,417.0,10,4,2,16,7,30.8,4,2,5.1,6.0,0
ACC100166,Asset Mgmt,Enterprise,10851.0,54,146,76,15,6,26.6,6,0,5.3,6.0,0
ACC100167,Banking,Enterprise,11731.0,47,240,87,1,0,8.5,4,1,12.6,0.0,1
ACC100168,Brokerage,Starter,504.0,25,4,2,18,5,21.3,3,1,6.6,7.0,1
ACC100169,Brokerage,Enterprise,13185.0,33,129,93,20,7,32.2,5,3,2.4,7.0,0
ACC100170,Banking,Starter,527.0,57,9,7,18,10,38.6,0,0,3.1,10.0,0
ACC100171,Insurance,Growth,2473.0,23,26,24,22,10,42.8,7,1,8.3,9.0,0
ACC100172,Insurance,Starter,468.0,2,9,5,15,4,10.6,3,0,5.3,3.0,0
ACC100173,Corporate Treasury,Enterprise,10314.0,9,86,36,15,4,10.9,3,2,10.5,0.0,0
ACC100174,Brokerage,Starter,563.0,36,13,10,16,6,23.8,2,0,6.9,5.0,0
ACC100175,Insurance,Starter,445.0,59,12,9,23,6,29.8,1,1,5.3,5.0,0
ACC100176,Corporate Treasury,Growth,3024.0,44,30,15,39,9,34.9,7,3,2.5,7.0,0
ACC100177,Brokerage,Enterprise,12620.0,37,95,38,25,7,30.1,3,0,6.7,7.0,0
ACC100178,Brokerage,Enterprise,12964.0,20,89,56,12,5,22.5,3,1,7.5,2.0,0
ACC100179,Asset Mgmt,Growth,2513.0,26,48,26,19,4,7.6,2,0,10.0,5.0,0
ACC100180,Brokerage,Enterprise,15086.0,3,162,154,14,8,43.9,5,1,9.6,8.0,0
ACC100181,Insurance,Enterprise,11435.0,22,130,126,39,11,35.4,7,0,3.3,9.0,0
ACC100182,Banking,Growth,2390.0,37,55,28,17,7,24.4,7,1,4.7,7.0,0
ACC100183,Corporate Treasury,Starter,618.0,54,4,2,26,6,32.3,1,1,7.4,3.0,0
ACC100184,Brokerage,Growth,2657.0,55,26,18,27,8,30.6,4,0,4.4,7.0,0
ACC100185,Asset Mgmt,Growth,2424.0,49,49,36,20,9,29.6,3,0,4.0,5.0,0
ACC100186,Insurance,Starter,429.0,2,9,9,28,8,30.4,2,2,3.7,7.0,1
ACC100187,Asset Mgmt,Starter,424.0,48,10,5,10,3,10.9,1,0,11.3,1.0,1
ACC100188,Banking,Growth,2952.0,13,53,34,12,4,13.5,2,0,10.6,2.0,0
ACC100189,Brokerage,Starter,434.0,37,13,8,9,5,24.8,2,2,7.7,3.0,1
ACC100190,Banking,Enterprise,8441.0,56,91,43,6,2,10.5,3,2,7.1,1.0,1
ACC100191,Insurance,Starter,356.0,53,10,7,33,7,21.9,1,0,4.7,6.0,0
ACC100192,Banking,Starter,644.0,40,12,10,23,10,34.6,4,1,3.6,9.0,0
ACC100193,Corporate Treasury,Enterprise,12431.0,18,227,92,7,2,11.1,6,1,12.6,5.0,0
ACC100194,Brokerage,Starter,497.0,31,13,12,23,9,29.7,4,0,0.5,6.0,0
ACC100195,Corporate Treasury,Starter,625.0,42,14,6,23,6,22.0,2,0,7.9,5.0,0
ACC100196,Corporate Treasury,Growth,2278.0,31,38,32,24,7,29.2,0,0,7.7,5.0,0
ACC100197,Brokerage,Enterprise,14124.0,24,257,168,26,6,24.1,3,0,8.0,4.0,0
ACC100198,Brokerage,Starter,567.0,24,7,5,35,9,31.4,0,0,5.8,5.0,0
ACC100199,Brokerage,Starter,493.0,36,5,2,18,5,19.2,3,0,9.7,3.0,0
ACC100200,Asset Mgmt,Growth,2912.0,3,25,12,28,6,31.4,6,0,6.7,4.0,1
ACC100201,Insurance,Enterprise,15354.0,59,208,150,30,8,41.0,6,0,7.2,6.0,0
ACC100202,Brokerage,Growth,2051.0,7,57,19,13,3,15.9,0,0,5.6,0.0,0
ACC100203,Asset Mgmt,Starter,355.0,59,12,5,30,8,33.6,3,1,4.9,6.0,0
ACC100204,Corporate Treasury,Starter,596.0,3,8,6,36,11,38.0,1,0,3.3,9.0,0
ACC100205,Banking,Starter,471.0,31,14,6,13,3,13.7,4,1,8.1,1.0,0
ACC100206,Brokerage,Starter,513.0,25,14,13,28,8,32.7,2,2,3.6,7.0,0
ACC100207,Corporate Treasury,Growth,2084.0,34,17,10,24,5,10.4,3,0,6.4,2.0,1
ACC100208,Corporate Treasury,Starter,603.0,26,12,5,11,2,16.4,2,1,11.5,2.0,0
ACC100209,Brokerage,Growth,2832.0,53,20,20,29,9,31.4,2,0,4.5,7.0,0
ACC100210,Asset Mgmt,Growth,3180.0,1,56,27,18,5,16.1,1,1,7.8,4.0,0
ACC100211,Insurance,Growth,2463.0,59,47,26,6,2,14.2,3,2,11.0,2.0,1
ACC100212,Brokerage,Starter,643.0,41,12,12,37,8,39.7,2,1,5.7,7.0,0
ACC100213,Banking,Enterprise,12078.0,46,165,157,42,11,38.5,2,0,6.2,6.0,0
ACC100214,Brokerage,Growth,2682.0,9,30,25,50,11,41.8,0,0,5.5,8.0,0
ACC100215,Asset Mgmt,Growth,2761.0,4,55,41,22,6,27.1,3,1,7.9,6.0,0
ACC100216,Insurance,Starter,497.0,24,8,5,30,7,30.9,1,1,5.3,7.0,1
ACC100217,Insurance,Starter,519.0,20,13,9,17,9,29.4,3,0,7.4,6.0,0
ACC100218,Corporate Treasury,Enterprise,10008.0,47,283,143,27,7,30.2,6,0,9.4,4.0,0
ACC100219,Brokerage,Starter,459.0,53,7,4,23,8,32.2,4,1,2.4,7.0,0
ACC100220,Asset Mgmt,Starter,561.0,26,7,2,8,3,1.0,3,0,9.8,3.0,1
ACC100221,Banking,Growth,1808.0,46,44,28,11,4,22.5,4,1,8.4,2.0,0
ACC100222,Insurance,Growth,2801.0,4,55,27,28,11,32.9,2,0,1.3,7.0,0
ACC100223,Corporate Treasury,Enterprise,10587.0,44,141,97,38,9,34.4,6,2,3.9,6.0,0
ACC100224,Corporate Treasury,Starter,432.0,6,12,7,27,8,38.0,3,1,4.9,5.0,1
ACC100225,Corporate Treasury,Enterprise,13393.0,40,297,111,6,2,11.1,6,3,12.3,2.0,0
ACC100226,Asset Mgmt,Starter,414.0,23,8,4,9,2,6.8,3,2,7.5,4.0,1
ACC100227,Brokerage,Growth,3193.0,25,45,23,4,2,14.9,1,1,10.7,0.0,1
ACC100228,Banking,Growth,3236.0,17,51,33,14,5,30.0,3,1,6.0,4.0,0
ACC100229,Banking,Starter,487.0,24,3,2,19,7,22.7,7,0,8.7,4.0,1
ACC100230,Banking,Starter,470.0,52,3,2,15,7,15.4,4,0,6.7,7.0,0
ACC100231,Brokerage,Growth,1869.0,48,49,22,17,4,23.5,1,0,10.8,4.0,0
ACC100232,Banking,Enterprise,14003.0,21,61,44,35,9,39.1,4,0,4.8,6.0,0
ACC100233,Corporate Treasury,Growth,1994.0,18,37,21,33,8,35.0,1,0,1.8,8.0,0
ACC100234,Brokerage,Enterprise,15118.0,31,230,102,19,5,13.5,2,2,6.6,5.0,0
ACC100235,Corporate Treasury,Enterprise,15532.0,41,280,280,31,11,43.6,3,1,6.6,8.0,0
ACC100236,Brokerage,Growth,1934.0,11,29,12,3,1,12.9,4,1,12.5,2.0,1
ACC100237,Banking,Growth,2775.0,43,23,11,18,4,30.0,8,2,12.5,1.0,1
ACC100238,Insurance,Starter,490.0,56,8,2,9,3,12.3,4,0,12.9,5.0,0
ACC100239,Insurance,Starter,512.0,50,6,6,33,10,39.8,4,1,2.3,8.0,0
ACC100240,Corporate Treasury,Enterprise,9693.0,33,130,101,13,5,12.4,4,1,4.8,6.0,0
ACC100241,Corporate Treasury,Growth,2835.0,19,46,46,21,11,46.4,5,0,5.1,8.0,0
ACC100242,Insurance,Starter,400.0,20,9,4,3,1,14.5,6,1,12.9,0.0,1
ACC100243,Asset Mgmt,Growth,3078.0,44,48,22,9,2,14.8,4,2,10.1,2.0,1
ACC100244,Banking,Growth,2431.0,27,30,14,21,7,35.6,7,1,2.9,5.0,0
ACC100245,Insurance,Enterprise,12971.0,7,86,29,16,4,14.3,4,0,7.6,2.0,1
ACC100246,Asset Mgmt,Growth,3133.0,40,26,12,19,6,23.1,4,1,7.6,5.0,0
ACC100247,Insurance,Growth,2857.0,9,39,31,29,9,35.2,2,0,5.8,9.0,0
ACC100248,Corporate Treasury,Starter,512.0,59,7,6,28,7,35.2,2,0,3.8,7.0,0
ACC100249,Insurance,Growth,2354.0,25,56,32,6,3,19.7,2,1,11.8,4.0,1
ACC100250,Insurance,Growth,2443.0,21,46,27,38,8,32.2,5,0,7.2,6.0,0
ACC100251,Banking,Enterprise,10860.0,4,191,95,14,5,23.5,3,0,9.3,6.0,0
ACC100252,Corporate Treasury,Growth,3169.0,10,32,11,9,2,14.7,5,2,11.4,3.0,0
ACC100253,Insurance,Starter,426.0,56,3,2,14,5,21.6,10,2,3.1,3.0,0
ACC100254,Banking,Starter,473.0,32,4,4,30,9,42.9,2,1,4.9,9.0,0
ACC100255,Asset Mgmt,Growth,2917.0,54,23,21,29,9,31.3,4,0,4.1,7.0,0
ACC100256,Corporate Treasury,Enterprise,11023.0,57,254,207,17,6,28.7,4,1,7.8,4.0,0
ACC100257,Brokerage,Starter,616.0,3,4,3,25,9,31.8,5,3,1.4,8.0,0
ACC100258,Insurance,Starter,423.0,23,6,4,14,4,24.3,1,0,4.3,4.0,0
ACC100259,Brokerage,Growth,1797.0,50,46,27,12,3,13.2,4,0,11.0,3.0,0
ACC100260,Banking,Starter,539.0,30,13,11,31,9,46.4,0,0,2.4,6.0,0
ACC100261,Asset Mgmt,Enterprise,12059.0,31,246,72,4,2,11.1,1,1,6.1,0.0,1
ACC100262,Brokerage,Starter,630.0,34,12,7,17,7,33.2,2,2,4.0,5.0,0
ACC100263,Banking,Starter,477.0,42,4,2,50,10,35.6,5,1,3.2,8.0,0
ACC100264,Corporate Treasury,Enterprise,9376.0,56,174,53,6,3,13.0,2,1,11.9,3.0,1
ACC100265,Asset Mgmt,Starter,449.0,53,8,4,14,4,16.8,5,0,9.1,0.0,1
ACC100266,Asset Mgmt,Starter,468.0,37,10,7,15,6,27.5,3,1,5.7,6.0,0
ACC100267,Insurance,Starter,525.0,35,13,7,25,8,27.9,2,1,4.8,8.0,0
ACC100268,Asset Mgmt,Starter,432.0,22,6,2,9,3,12.2,2,0,11.0,4.0,0
ACC100269,Brokerage,Starter,515.0,7,9,3,10,2,12.3,2,0,11.4,3.0,0
ACC100270,Brokerage,Starter,622.0,42,6,5,28,8,33.6,1,1,6.8,5.0,0
ACC100271,Insurance,Starter,477.0,1,5,3,20,8,31.1,2,0,8.9,5.0,1
ACC100272,Insurance,Starter,545.0,42,6,2,10,3,13.1,0,0,9.8,2.0,1
ACC100273,Banking,Growth,2093.0,30,10,8,17,9,28.2,4,0,5.9,7.0,0
ACC100274,Asset Mgmt,Growth,2952.0,47,45,21,16,3,18.6,5,0,4.9,1.0,0
ACC100275,Banking,Starter,431.0,57,11,4,20,7,32.8,2,0,6.5,6.0,1
ACC100276,Brokerage,Starter,524.0,33,11,6,16,3,21.1,6,2,6.5,3.0,0
ACC100277,Asset Mgmt,Growth,2200.0,34,36,20,24,6,24.3,2,1,6.1,5.0,0
